Year,State,State Initials,Democratic,Libertarian,Other,Republican,Region,Winner
2000,CALIFORNIA,CA,5861203,45520,491670,4567429,West,Democratic
2000,COLORADO,CO,738227,12799,106594,883748,West,Republican
2000,CONNECTICUT,CT,816015,3484,78932,561094,Northeast,Democratic
2000,DELAWARE,DE,180068,774,9399,137288,South,Democratic
2000,DISTRICT OF COLUMBIA,DC,171923,669,11229,18073,South,Democratic
2000,FLORIDA,FL,2912253,16415,121652,2912790,South,Republican
2000,GEORGIA,GA,1116230,36332,10926,1419720,South,Republican
2000,HAWAII,HI,205286,1477,23343,137845,West,Democratic
2000,IDAHO,ID,138637,3488,22553,336937,West,Republican
2000,ILLINOIS,IL,2589026,11623,122038,2019421,Midwest,Democratic
2000,INDIANA,IN,901980,15530,35956,1245836,Midwest,Republican
2000,IOWA,IA,638517,3209,76923,634373,Midwest,Democratic
2000,KANSAS,KS,399276,4525,46083,622332,Midwest,Republican
2000,KENTUCKY,KY,638923,2885,29778,872520,South,Republican
2000,LOUISIANA,LA,792344,2951,42490,927871,South,Republican
2000,MAINE,ME,319951,3074,42176,286616,Northeast,Democratic
2000,MARYLAND,MD,1144008,5310,62067,813827,South,Democratic
2000,MASSACHUSETTS,MA,1616487,16366,222609,878502,Northeast,Democratic
2000,MICHIGAN,MI,2170418,16711,92233,1953139,Midwest,Democratic
2000,MINNESOTA,MN,1168266,5282,155478,1109659,Midwest,Democratic
2000,MISSISSIPPI,MS,404614,2009,14717,572844,South,Republican
2000,MISSOURI,MO,1111138,7436,51394,1189924,Midwest,Republican
2000,MONTANA,MT,137126,1718,31964,240178,West,Republican
2000,NEBRASKA,NE,231780,2245,29132,433862,Midwest,Republican
2000,NEVADA,NV,279978,3311,24562,301575,West,Republican
2000,NEW HAMPSHIRE,NH,266348,2757,26417,273559,Northeast,Republican
2000,NEW JERSEY,NJ,1788850,0,114203,1284173,Northeast,Democratic
2000,NEW MEXICO,NM,286783,2058,23347,286417,West,Democratic
2000,NEW YORK,NY,3942215,7649,751774,2258577,Northeast,Democratic
2000,NORTH CAROLINA,NC,1257692,13891,12244,1631163,South,Republican
2000,NORTH DAKOTA,ND,95284,0,18120,174852,Midwest,Republican
2000,OHIO,OH,2183628,13473,154534,2350363,Midwest,Republican
2000,OKLAHOMA,OK,474276,6602,9014,744337,South,Republican
2000,OREGON,OR,720342,7447,92584,713577,West,Democratic
2000,PENNSYLVANIA,PA,2485967,11248,133843,2281127,Northeast,Democratic
2000,RHODE ISLAND,RI,249508,742,28307,130555,Northeast,Democratic
